COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,762101172,761104329,,37217,37262,762101172,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 3 CUCUTENI,GRADINITA CU PROGRAM NORMAL NR 3 CUCUTENI,CUCUTENI,CUCUTENI,,
,762103111,761104695,,39417,39426,762103111,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 1 UNGURENI,GRADINITA CU PROGRAM NORMAL NR 1 UNGURENI,UNGURENI,,,
23133936,761100076,,1139353,35731,35740,761100076,BOTOŞANI,,,6,GRADINITA CU PROGRAM PRELUNGIT NR 23 BOTOSANI,GRADINITA CU PROGRAM PRELUNGIT NR 23 BOTOSANI,BOTOŞANI,NUCULUI,,
,762100976,761105312,,39872,39881,762100976,BOTOŞANI,,,,SCOALA PRIMARA’’PETRU RARES’’ VORONA,SCOALA PRIMARAPETRU RARES VORONA,VORONA,,,
29129772,761104799,,387721,36006,36015,761104799,BOTOŞANI,,,2,"""SCOALA GIMNAZIALA """"SPIRU HARET"""" DOROHOI""",SCOALA GIMNAZIALA SPIRU HARET DOROHOI,DOROHOI,LT. OLINESCU,,
,762102232,761105131,,35731,35740,762102232,BOTOŞANI,,,19,SCOALA GIMNAZIALA NR 3 BOTOSANI,SCOALA GIMNAZIALA NR 3 BOTOSANI,BOTOŞANI,TUDOR VLADIMIRESCU,,
21971740,761105226,,389482,37734,37743,761105226,BOTOŞANI,,,,"""SCOALA GIMNAZIALA """"DAN IORDACHESCU’’ HLIPICENI""",SCOALA GIMNAZIALA DAN IORDACHESCU HLIPICENI,HLIPICENI,HLIPICENI,,
,762101769,761104288,,37912,37930,762101769,BOTOŞANI,,,,SCOALA PRIMARA ’’PAISIE OLARU’’ STROIESTI,SCOALA PRIMARA PAISIE OLARU STROIESTI,STROIEŞTI,STROIESTI,,
,762103943,761105339,,37850,37896,762103943,BOTOŞANI,,,,SCOALA PRIMARA NR. 3 DOLINA,SCOALA PRIMARA NR 3 DOLINA,DOLINA,DOLINA,,
,762100492,761105036,,36809,36836,762100492,BOTOŞANI,,,,ȘCOALA PRIMARĂ NR. 4 COTU MICULINŢI,SCOALA PRIMARA NR 4 COTU MICULINTI,COTU MICULINŢI,COTU MICULINTI,,
,762103613,761104496,,38893,38964,762103613,BOTOŞANI,,,,SCOALA PRIMARA NR. 4 RINGHILESTI,SCOALA PRIMARA NR 4 RINGHILESTI,RÂNGHILEŞTI,,,
,762101968,761105425,33338,39792,39818,762101968,BOTOŞANI,,,,SCOALA PRIMARA NR. 3 MIRON COSTIN,SCOALA PRIMARA NR 3 MIRON COSTIN,MIRON COSTIN,,,
29178562,761104546,,387707,36006,36015,761104546,BOTOŞANI,,,21,"""SCOALA GIMNAZIALA """"DIMITRIE ROMANESCU’’ DOROHOI""",SCOALA GIMNAZIALA DIMITRIE ROMANESCU DOROHOI,DOROHOI,HORIA,,
16041520,761104329,,388933,37217,37226,761104329,BOTOŞANI,,,,SCOALA GIMNAZIALA NR.1 DURNESTI,SCOALA GIMNAZIALA NR 1 DURNESTI,DURNEŞTI,DURNESTI,,
21683542,761104894,,391461,39694,39701,761104894,BOTOŞANI,,,,SCOALA GIMNAZIALA NR. 1 VIRFU CIMPULUI,SCOALA GIMNAZIALA NR 1 VIRFU CIMPULUI,VÂRFU CÂMPULUI,VARFU CAMPULUI,,
,762100705,761105357,,39836,39863,762100705,BOTOŞANI,,,,SCOALA PRIMARA NR. 2 DEALU CRUCII,SCOALA PRIMARA NR 2 DEALU CRUCII,DEALU CRUCII,,,
,762102399,761105298,,37958,37985,762102399,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 3 FLONDORA,GRADINITA CU PROGRAM NORMAL NR 3 FLONDORA,FLONDORA,FLONDORA,,
3860271,761105054,,1180716,35731,35740,761105054,BOTOŞANI,,,28,"""LICEUL """"ALEXANDRU CEL BUN’’ BOTOSANI""",LICEUL ALEXANDRU CEL BUN BOTOSANI,BOTOŞANI,CALEA NATIONALA,,
,762102087,761105407,3909245,39122,39131,762102087,BOTOŞANI,,,,SCOALA GIMNAZIALA ’’ALECU IVAN GHILEA’’ SENDRICENI,SCOALA GIMNAZIALA ALECU IVAN GHILEA SENDRICENI,ŞENDRICENI,,,
