COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,362105191,361103515,,16739,16748,362105191,ARGEŞ,,,1145,GRĂDINIȚA CU PROGRAM NORMAL NR. 2 IZVORU,GRADINITA CU PROGRAM NORMAL NR 2 IZVORU,IZVORU,PRINCIPALĂ,,
,362101852,361103388,,18741,18769,362101852,ARGEŞ,,,1,ȘCOALA PRIMARĂ NIGRIȘOARA,SCOALA PRIMARA NIGRISOARA,NIGRIŞOARA,P RINCIPALĂ,,
,362100815,361105033,,14940,15046,362100815,ARGEŞ,,,1,GRĂDINIȚA CU PROGRAM NORMAL TOMȘANCA,GRADINITA CU PROGRAM NORMAL TOMSANCA,TOMŞANCA,PRINCIPALĂ,,
4317908,361105015,,326577,13169,13178,361105015,ARGEŞ,,,2,"""GRĂDINIȚA CU PROGRAM NORMAL """"ISTEȚEL"""" PITEȘTI""",GRADINITA CU PROGRAM NORMAL ISTETEL PITESTI,PITEŞTI,Xenopol Alexandru,,
4469329,361100064,,1180487,13169,13178,361100064,ARGEŞ,,,1,"""LICEUL TEORETIC """"ION CANTACUZINO"""" PITEȘTI""",LICEUL TEORETIC ION CANTACUZINO PITESTI,PITEŞTI,CAROL DAVILA,,
,362101671,361105024,,13622,13631,362101671,ARGEŞ,,,1,GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 1 CURTEA DE ARGEȘ,GRADINITA CU PROGRAM PRELUNGIT NR 1 CURTEA DE ARGES,CURTEA DE ARGEŞ,ALBEŞTI,,
,362105431,361104466,,13668,13677,362105431,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL NR.1,GRADINITA CU PROGRAM NORMAL NR 1,COSTEŞTI,,,
,362100304,361104032,,16132,16203,362100304,ARGEŞ,,,1,ȘCOALA PRIMARĂ LĂUNELE,SCOALA PRIMARA LAUNELE,LĂUNELE DE SUS,PRINCIPALĂ,,
,362102247,361104086,,19114,19132,362102247,ARGEŞ,,,,ŞCOALA PRIMARĂ GLAVACIOC,SCOALA PRIMARA GLAVACIOC,GLAVACIOC,,,
,362102713,361104706,,17851,17904,362102713,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL VĂRZĂROAIA,GRADINITA CU PROGRAM NORMAL VARZAROAIA,VĂRZĂROAIA,,,
,362101445,361104516,,13392,13436,362101445,ARGEŞ,,,1,GRĂDINIȚA CU PROGRAM NORMAL IZVORANI,GRADINITA CU PROGRAM NORMAL IZVORANI,IZVORANI,IZVORANI,,
,362105381,361104706,,17851,17879,362105381,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL BĂDEŞTI,GRADINITA CU PROGRAM NORMAL BADESTI,PIETROŞANI,,,
4122469,361100019,,335215,18670,18689,361100019,ARGEŞ,,,34,ȘCOALA GIMNAZIALĂ NR. 1 SCHITU GOLEȘTI,SCOALA GIMNAZIALA NR 1 SCHITU GOLESTI,SCHITU GOLEŞTI,SOSEA NATIONALA,,
,362106156,361103732,,17398,17405,362106156,ARGEŞ,,,k,GRADINITA CU PROGRAM NORMAL NR.1 MIROSI,GRADINITA CU PROGRAM NORMAL NR 1 MIROSI,MIROŞI,XC,,
4972044,361103596,,300268,18778,18787,361103596,ARGEŞ,,,1,"""LICEUL TEHNOLOGIC """"I.C. PETRESCU"""" STÂLPENI""",LICEUL TEHNOLOGIC I C PETRESCU STALPENI,STÂLPENI,PRINCIPALA,,
29334580,361103601,,331126,13169,13178,361103601,ARGEŞ,,,13,"""ȘCOALA GIMNAZIALĂ """"NEGRU VODĂ"""" PITEȘTI""",SCOALA GIMNAZIALA NEGRU VODA PITESTI,PITEŞTI,BRADULUI,,
,362102387,361100019,,18670,18689,362102387,ARGEŞ,,,,ŞCOALA PRIMARĂ RUDĂRIE,SCOALA PRIMARA RUDARIE,SCHITU GOLEŞTI,,,
,362101879,361103863,,19999,20000,362101879,ARGEŞ,,,255,ȘCOALA PRIMARĂ VLĂDEȘTII DE SUS,SCOALA PRIMARA VLADESTII DE SUS,VLĂDEŞTI,,,
