COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,1762101875,1761100259,,76601,76610,1762101875,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.3"," COMUNA IVESTI""",GRADINITA CU PROGRAM NORMAL NR 3 COMUNA IVESTI,IVEŞTI,,
,1762103393,1761104304,,77331,77359,1762103393,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT SIVITA," COMUNA TULUCESTI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT SIVITA COMUNA TULUCESTI,ŞIVIŢA,
,1752102948,1771101125,,75203,75212,1752102948,GALAŢI,,,15,CLUBUL COPIILOR TECUCI,CLUBUL COPIILOR TECUCI,TECUCI,GALATI,,
22098016,1761100268,,496211,76317,76326,1761100268,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA FRUMUSITA""",SCOALA GIMNAZIALA NR 1 COMUNA FRUMUSITA,FRUMUŞIŢA,,
3127298,1761100128,,849547,75098,75105,1761100128,GALAŢI,,,,"""LICEUL TEHNOLOGIC """"SIMION MEHEDINTI"""""," LOCALITATEA GALATI""",LICEUL TEHNOLOGIC SIMION MEHEDINTI LOCALITATEA GALATI,GALAŢI,N.BALCESCU NR.19,
21643041,1761100693,,496742,76763,76772,1761100693,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA NAMOLOASA""",SCOALA GIMNAZIALA NR 1 COMUNA NAMOLOASA,NĂMOLOASA,,
,1762102573,1761100544,,75711,75720,1762102573,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1"," COMUNA BRANISTEA""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA BRANISTEA,BRANIŞTEA,,
21149715,1761101613,,495413,75515,75524,1761101613,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.2"," COMUNA BARCEA""",SCOALA GIMNAZIALA NR 2 COMUNA BARCEA,BARCEA,,
,1762103737,1761101328,,75356,75374,1762103737,GALAŢI,,,,"""SCOALA PRIMARA """"ANDRONACHI GOGA""""", SAT ALDESTI," COMUNA BERESTI-MERIA""",SCOALA PRIMARA ANDRONACHI GOGA SAT ALDESTI COMUNA BERESTI MERIA,ALDEŞTI,
21613741,1761100137,,496754,76807,76816,1761100137,GALAŢI,,,,"""SCOALA GIMNAZIALA """"GABRIEL DRAGAN"""""," COMUNA NICORESTI""",SCOALA GIMNAZIALA GABRIEL DRAGAN COMUNA NICORESTI,NICOREŞTI,,
32275859,1761104575,,170496106,76175,76193,1761104575,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1", SAT ADAM," COMUNA DRAGUSENI""",SCOALA GIMNAZIALA NR 1 SAT ADAM COMUNA DRAGUSENI,ADAM,ADAM
21149707,1761101423,,499213,76040,76059,1761101423,GALAŢI,,,,"""SCOALA GIMNAZIALA """"GENERAL DUMITRU DAMACEANU"""""," COMUNA COSMESTI""",SCOALA GIMNAZIALA GENERAL DUMITRU DAMACEANU COMUNA COSMESTI,COSMEŞTI,,
,1762104001,1761100856,,75472,75481,1762104001,GALAŢI,,,11,"""GRADINITA CU PROGRAM NORMAL """"FLOARE DE BUJOR"""""," ORAS TG.BUJOR""",GRADINITA CU PROGRAM NORMAL FLOARE DE BUJOR ORAS TG BUJOR,TÂRGU BUJOR,GH.BUZOIANU,
,1762104281,1761104679,,75338,75347,1762104281,GALAŢI,,,11,"""GRADINITA CU PROGRAM NORMAL NR.1"," ORAS BERESTI""",GRADINITA CU PROGRAM NORMAL NR 1 ORAS BERESTI,BEREŞTI,MUZICII,
,1762102632,1761100015,,76969,76978,1762102632,GALAŢI,,,,"""SCOALA PRIMARA NR.4"," COMUNA PECHEA""",SCOALA PRIMARA NR 4 COMUNA PECHEA,PECHEA,,
3127085,1761101192,,1142245,75098,75105,1761101192,GALAŢI,,,,"""SCOALA GIMNAZIALA """"MIHAI VITEAZUL"""""," LOCALITATEA GALATI""",SCOALA GIMNAZIALA MIHAI VITEAZUL LOCALITATEA GALATI,GALAŢI,TRAIAN VUIA NR.22,
,1762101812,1761100191,,77153,77171,1762101812,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL """"CONSTANTIN LAZAR""""", SAT NEGREA," COMUNA SCHELA""",GRADINITA CU PROGRAM NORMAL CONSTANTIN LAZAR SAT NEGREA COMUNA SCHELA,NEGREA,
,1762102564,1761100544,,75711,75748,1762102564,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT TRAIAN," COMUNA BRANISTEA""",GRADINITA CU PROGRAM NORMAL NR 1 SAT TRAIAN COMUNA BRANISTEA,TRAIAN,
,1762103886,1761104616,,76282,76291,1762103886,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1"," COMUNA FOLTESTI""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA FOLTESTI,FOLTEŞTI,,
24343286,1761100241,,496027,76111,76120,1761100241,GALAŢI,,,,"""SCOALA GIMNAZIALA """"ELENA NEGRI"""""," COMUNA COSTACHE NEGRI""",SCOALA GIMNAZIALA ELENA NEGRI COMUNA COSTACHE NEGRI,COSTACHE NEGRI,,
29094470,1761101676,,495334,75258,75310,1761101676,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1", SAT UNGURENI," COMUNA MUNTENI""",SCOALA GIMNAZIALA NR 1 SAT UNGURENI COMUNA MUNTENI,UNGURENI,
19487447,1761100725,,495932,75953,75962,1761100725,GALAŢI,,,10,"""LICEUL TEHNOLOGIC NR.1"," COMUNA COROD""",LICEUL TEHNOLOGIC NR 1 COMUNA COROD,COROD,SCOLII,
,1762103719,1761101328,,75356,75445,1762103719,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT SLIVNA," COMUNA BERESTI-MERIA""",GRADINITA CU PROGRAM NORMAL NR 1 SAT SLIVNA COMUNA BERESTI MERIA,SLIVNA,
