COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,2762103834,2761102738,616196,121652,121689,2762103834,NEAMŢ,,,,"""ȘCOALA GIMNAZIALĂ """"MIHAI PETRESCU""""", SAT MĂDEI," COMUNA BORCA""",SCOALA GIMNAZIALA MIHAI PETRESCU SAT MADEI COMUNA BORCA,MĂDEI,
23019967,2761201979,,23019967,120726,120735,2761201979,NEAMŢ,,,,"""GRĂDINIȚA PARTICULARĂ CU PROGRAM PRELUNGIT """"HAPPY LAND"""""," MUNICIPIUL PIATRA-NEAMȚ""",GRADINITA PARTICULARA CU PROGRAM PRELUNGIT HAPPY LAND MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,,
,2762101262,2761102539,,121876,121901,2762101262,NEAMŢ,,,,"""ȘCOALA PRIMARĂ CRĂIEŞTI"," COMUNA BOZIENI""",SCOALA PRIMARA CRAIESTI COMUNA BOZIENI,CRĂIEŞTI,NARCISELOR,
,2762100424,2761102806,,120968,120977,2762100424,NEAMŢ,,,1,"""GRĂDINIȚA CU PROGRAM NORMAL """"MARCENI"""""," ORASUL BICAZ""",GRADINITA CU PROGRAM NORMAL MARCENI ORASUL BICAZ,BICAZ,PRIMĂVERII,
17973548,2761101633,,613118,120726,120735,2761101633,NEAMŢ,,,13,"""LICEUL TEHNOLOGIC """"DIMITRIE LEONIDA"""""," MUNICIPIUL PIATRA-NEAMȚ""",LICEUL TEHNOLOGIC DIMITRIE LEONIDA MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,MĂRĂȘEȘTI,
612994,2761102444,,612994,120726,120735,2761102444,NEAMŢ,,,68,"""CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ """"ALEXANDRU ROȘCA"""""," MUNICIPIUL PIATRA-NEAMȚ""",CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA ALEXANDRU ROSCA MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,01.dec.18,
,2762100614,2761102385,615673,125178,121411,2762100614,NEAMŢ,,,51,"""ȘCOALA PRIMARĂ CĂUŞENI"," COMUNA BOGHICEA""",SCOALA PRIMARA CAUSENI COMUNA BOGHICEA,CĂUŞENI,PRINCIPALĂ,
17145570,2761102593,,622676,124616,124625,2761102593,NEAMŢ,,,186,"""ȘCOALA GIMNAZIALĂ """"I. I. MIRONESCU"""""," COMUNA TAZLĂU""",SCOALA GIMNAZIALA I I MIRONESCU COMUNA TAZLAU,TAZLĂU,STEFAN CEL MARE,
,2762100926,2761101936,,123601,123629,2762100926,NEAMŢ,,,262,"""ȘCOALA GIMNAZIALĂ OANŢU"," COMUNA PÂNGĂRAȚI""",SCOALA GIMNAZIALA OANTU COMUNA PANGARATI,OANŢU,PRINCIPALĂ,
17442880,2761102132,,270622482,124493,124509,2761102132,NEAMŢ,,,231,"""ȘCOALA GIMNAZIALĂ """"IULIA HĂLĂUCESCU"""""," COMUNA TARCĂU""",SCOALA GIMNAZIALA IULIA HALAUCESCU COMUNA TARCAU,TARCĂU,PRINCIPALĂ,
